arrive_time,depart_time,power_support,battery_capacity,start_soc,end_soc,energy_demand,curve_type,time_slots_needed
4,11,60,52,0.18,0.92,38.48,2,3
51,52,60,48,0.48,0.98,24.0,2,2
14,18,80,70,0.42,0.98,39.2,1,3
72,77,60,67,0.68,0.98,20.099999999999994,2,2
72,74,80,58,0.18,0.92,42.92,1,3
24,29,80,68,0.22,0.98,51.68,1,4
61,65,60,55,0.48,0.98,27.5,2,3
58,60,60,54,0.72,0.92,10.800000000000004,2,1
1,3,60,69,0.57,0.98,28.290000000000003,2,3
51,54,60,52,0.42,0.98,29.120000000000005,2,3
4,8,120,92,0.32,0.98,60.71999999999999,0,3
49,54,80,60,0.28,0.98,42.0,2,3
62,63,80,64,0.52,0.98,29.439999999999998,1,2
23,28,100,70,0.88,1.0,8.4,2,1
29,32,100,65,0.22,0.82,39.0,0,2
26,31,100,83,0.68,0.98,24.899999999999995,0,1
29,33,80,71,0.22,0.82,42.6,1,3
11,16,120,77,0.28,0.92,49.28,1,2
10,14,60,51,0.92,1.0,4.079999999999998,2,1
19,24,60,46,0.12,0.82,32.199999999999996,2,3
50,53,80,52,0.42,0.98,29.120000000000005,1,2
95,96,120,111,0.52,0.98,51.059999999999995,0,2
52,57,120,90,0.57,0.92,31.500000000000007,0,2
4,6,100,88,0.72,0.98,22.880000000000003,0,1
76,79,120,82,0.18,0.98,65.60000000000001,1,3
35,38,80,59,0.48,0.98,29.5,1,2
64,65,60,41,0.28,0.98,28.7,2,3
1,5,60,51,0.22,0.98,38.76,2,3
59,63,100,70,0.38,0.92,37.800000000000004,0,2
23,25,60,67,0.28,0.92,42.88,2,4
1,4,60,68,0.18,0.98,54.400000000000006,2,5
45,50,100,88,0.18,0.98,70.4,1,4
5,9,80,80,0.42,0.98,44.800000000000004,0,3
27,32,100,94,0.28,0.88,56.4,1,3
61,63,80,52,0.82,1.0,9.360000000000003,1,1
49,51,60,46,0.22,0.98,34.96,2,3
6,9,60,53,0.18,0.98,42.400000000000006,2,4
55,58,120,82,0.18,0.98,65.60000000000001,1,3
14,18,80,54,0.32,0.98,35.63999999999999,1,3
45,47,80,54,0.32,0.98,35.63999999999999,1,3
50,54,80,82,0.42,0.98,45.92,1,3
23,28,80,84,0.52,0.98,38.64,1,3
20,22,60,43,0.48,0.72,10.32,2,1
65,69,80,84,0.12,0.98,72.24,1,5
32,36,100,67,0.38,0.98,40.199999999999996,0,2
24,27,120,75,0.28,0.98,52.5,0,2
27,31,120,100,0.32,0.92,60.00000000000001,0,3
14,18,80,59,0.48,0.98,29.5,1,2
48,54,80,51,0.22,0.52,15.300000000000002,0,1
56,59,80,62,0.52,0.98,28.519999999999996,1,2
44,47,80,79,0.42,0.98,44.24,1,3
27,30,60,61,0.52,0.73,12.809999999999999,2,1
42,46,120,91,0.28,0.88,54.6,1,3
1,6,80,69,0.32,0.98,45.53999999999999,1,3
6,10,100,78,0.08,0.98,70.2,0,3
79,81,120,86,0.28,0.98,60.199999999999996,0,3
30,34,60,51,0.68,0.88,10.199999999999998,2,1
53,57,60,65,0.02,0.98,62.4,2,5
56,60,100,95,0.32,0.98,62.699999999999996,2,3
31,35,80,76,0.52,0.98,34.959999999999994,1,3
28,29,120,97,0.18,0.98,77.60000000000001,2,3
4,7,60,55,0.12,0.98,47.3,2,4
4,8,60,47,0.28,0.68,18.8,0,2
51,55,80,53,0.68,0.98,15.899999999999997,1,1
70,73,60,41,0.18,0.98,32.800000000000004,1,3
7,10,80,72,0.22,0.98,54.72,1,4
9,13,60,65,0.28,0.98,45.5,2,4
1,3,100,61,0.22,0.98,46.36,1,3
13,19,60,57,0.42,0.98,31.92,2,3
45,48,120,105,0.18,0.98,84.0,0,3
95,96,120,114,0.28,0.98,79.8,2,3
18,22,60,51,0.32,0.98,33.66,2,3
30,32,80,52,0.28,0.98,36.4,1,3
53,58,100,85,0.28,0.98,59.49999999999999,1,3
9,12,120,99,0.42,0.98,55.440000000000005,0,2
30,34,60,43,0.12,0.92,34.4,2,3
13,16,60,40,0.38,0.98,24.0,2,2
6,9,100,65,0.57,0.98,26.650000000000002,0,2
18,22,80,66,0.18,0.98,52.800000000000004,1,4
54,58,120,97,0.88,1.0,11.639999999999999,0,1
61,62,60,54,0.38,0.98,32.4,1,3
69,73,80,59,0.38,0.98,35.4,1,3
29,32,100,93,0.42,0.98,52.080000000000005,0,3
56,59,60,40,0.18,0.98,32.0,2,3
1,8,60,51,0.08,0.98,45.9,2,4
19,23,80,69,0.57,0.92,24.150000000000006,1,2
19,22,120,95,0.28,0.98,66.5,0,3
39,41,100,71,0.38,0.57,13.489999999999997,0,1
57,60,120,103,0.28,0.98,72.1,0,3
32,37,60,40,0.48,0.82,13.599999999999998,1,2
7,11,120,70,0.82,1.0,12.600000000000003,0,1
4,7,60,60,0.57,0.98,24.6,1,2
49,54,120,86,0.18,0.98,68.8,0,3
59,63,80,78,0.88,1.0,9.36,2,1
14,20,100,63,0.18,0.88,44.099999999999994,0,2
7,10,100,87,0.18,0.98,69.60000000000001,0,3
30,32,60,49,0.42,0.68,12.740000000000004,2,1
7,11,80,67,0.22,0.98,50.92,1,3
8,12,100,86,0.28,0.98,60.199999999999996,0,3
55,60,60,41,0.38,0.98,24.599999999999998,2,2
50,55,60,44,0.18,0.92,32.56,2,3
21,24,80,75,0.52,0.98,34.5,1,3
29,33,100,88,0.08,0.92,73.92,0,3
53,59,100,76,0.52,0.98,34.959999999999994,0,2
1,4,80,57,0.42,0.98,31.92,1,2
37,41,120,103,0.18,0.88,72.1,0,3
70,75,100,76,0.48,0.82,25.839999999999996,2,2
11,14,60,44,0.28,0.98,30.799999999999997,1,3
38,41,80,81,0.02,0.98,77.75999999999999,1,5
59,63,120,114,0.48,0.82,38.76,0,2
12,14,60,62,0.22,0.82,37.199999999999996,2,3
29,34,60,48,0.28,0.98,33.599999999999994,2,3
60,65,100,61,0.38,0.98,36.6,2,2
29,33,60,58,0.38,0.98,34.8,1,3
42,44,60,55,0.57,0.98,22.55,0,2
28,32,120,106,0.62,0.88,27.560000000000002,0,1
21,23,60,54,0.22,0.98,41.04,2,4
55,59,60,66,0.28,0.48,13.199999999999998,2,1
14,17,100,80,0.48,0.98,40.0,0,2
42,46,120,76,0.62,0.92,22.800000000000004,0,1
5,8,60,53,0.42,0.98,29.680000000000003,2,3
59,61,60,57,0.38,0.98,34.199999999999996,2,3
63,69,80,70,0.38,0.92,37.800000000000004,0,2
58,62,60,65,0.18,0.82,41.599999999999994,2,4
6,11,120,85,0.72,0.92,17.000000000000007,0,1
23,28,120,75,0.28,0.98,52.5,0,2
10,11,80,56,0.08,0.98,50.4,1,3
29,33,100,81,0.22,0.72,40.5,0,2
1,7,60,45,0.28,0.98,31.499999999999996,2,3
26,29,120,94,0.52,0.98,43.239999999999995,2,2
83,86,60,46,0.18,0.82,29.439999999999994,2,3
85,88,60,47,0.08,0.98,42.300000000000004,2,4
62,67,60,53,0.22,0.98,40.28,2,3
13,18,60,60,0.38,0.88,30.0,2,3
39,41,60,65,0.52,0.98,29.9,1,3
3,6,80,62,0.08,0.98,55.800000000000004,1,4
12,15,60,65,0.38,0.98,39.0,2,3
58,60,60,45,0.22,0.98,34.2,2,3
85,90,60,63,0.57,0.98,25.830000000000002,2,2
1,5,60,47,0.62,0.92,14.100000000000001,0,1
61,63,100,92,0.38,0.92,49.68000000000001,0,2
12,16,60,69,0.78,0.98,13.799999999999997,2,2
92,96,60,41,0.48,0.88,16.400000000000002,2,2
1,6,100,92,0.28,0.72,40.48,2,2
3,8,120,70,0.48,0.98,35.0,0,2
22,25,60,68,0.48,0.92,29.920000000000005,2,3
1,7,120,93,0.38,0.72,31.619999999999997,1,2
63,67,60,54,0.12,0.92,43.2,2,4
5,7,120,90,0.62,0.98,32.4,2,2
14,17,60,66,0.38,0.98,39.6,0,3
57,60,100,74,0.48,0.98,37.0,0,2
5,9,120,87,0.18,0.98,69.60000000000001,0,3
3,6,60,61,0.22,0.98,46.36,2,4
58,63,120,100,0.08,0.98,90.0,0,3
